                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89644,                 4.6408,                 1.1306,                0.02663,                0.36841,                0.03221,                0.02562,                0.77575,                    inf,                0.98218,             0.00015625,             0.00015625,             0.00015625
                      2,                 0.8079,                 2.8593,                 1.0594,                0.10282,                 0.6068,                0.14816,                0.12762,                0.82902,                    inf,                 1.1256,             0.00031086,             0.00031086,             0.00031086
                      3,                0.87032,                 2.4268,                 1.1122,                0.36088,                0.25497,                0.28099,                0.19037,                 1.5869,                 19.243,                 1.9015,             0.00045743,             0.00045743,             0.00045743
                      4,                0.93417,                 2.3106,                 1.1759,                0.05105,                0.02308,                0.01455,                0.01052,                 1.1581,                    inf,                 1.4099,             0.00057859,             0.00057859,             0.00057859
                      5,                0.95882,                 2.3819,                 1.1726,                0.29058,                0.22501,                0.17505,                0.14477,                 1.1423,                 15.481,                 1.8752,             0.00057859,             0.00057859,             0.00057859
                      6,                0.96124,                 1.9549,                 1.1541,                0.61744,                0.18483,                0.10971,                0.08961,                 1.8242,                 93.808,                 1.8559,             0.00056313,             0.00056313,             0.00056313
                      7,                0.91264,                 1.7484,                 1.1481,                0.70192,                0.33499,                0.37866,                0.29949,                0.99921,                 2.0702,                 1.3193,             0.00054766,             0.00054766,             0.00054766
                      8,                0.88728,                 1.6276,                 1.1273,                0.52763,                0.43926,                0.47383,                0.38709,                0.85009,                 1.6378,                 1.1705,             0.00053219,             0.00053219,             0.00053219
                      9,                0.88931,                 1.4893,                 1.1313,                0.45075,                0.64503,                0.57587,                0.45721,                0.75507,                 1.4514,                   1.05,             0.00051672,             0.00051672,             0.00051672
                     10,                0.86107,                  1.523,                 1.1029,                0.27498,                0.62795,                0.51044,                 0.4181,                0.74645,                 1.8553,                 1.0393,             0.00050125,             0.00050125,             0.00050125
                     11,                 0.8712,                 1.4131,                 1.1082,                0.71451,                 0.4177,                0.49723,                  0.399,                0.82281,                  1.643,                  1.099,             0.00048578,             0.00048578,             0.00048578
                     12,                0.83497,                 1.3765,                  1.089,                0.59739,                0.68539,                0.71667,                0.57714,                0.68193,                 1.1012,                0.99819,             0.00047031,             0.00047031,             0.00047031
                     13,                0.82247,                 1.2594,                 1.0615,                0.46811,                0.70802,                0.66841,                0.53562,                0.78872,                 1.1351,                 1.0544,             0.00045484,             0.00045484,             0.00045484
                     14,                0.85673,                 1.3073,                 1.1175,                0.58527,                0.70953,                0.73412,                0.62527,                0.67353,                0.98069,                0.98672,             0.00043937,             0.00043937,             0.00043937
                     15,                0.85049,                 1.3116,                  1.082,                0.66905,                0.79496,                0.77789,                0.61119,                0.68479,                  1.085,                  1.004,             0.00042391,             0.00042391,             0.00042391
                     16,                0.80461,                 1.1681,                 1.0889,                0.66912,                0.64003,                 0.6894,                0.56665,                0.70215,                 1.0214,                0.99486,             0.00040844,             0.00040844,             0.00040844
                     17,                0.81029,                 1.0978,                 1.0609,                0.70463,                0.63953,                0.73895,                0.60917,                0.74388,                0.87907,                 1.0161,             0.00039297,             0.00039297,             0.00039297
                     18,                 0.7563,                  1.066,                 1.0583,                 0.5874,                0.72113,                0.75372,                0.64101,                0.70349,                0.92773,                 1.0054,              0.0003775,              0.0003775,              0.0003775
                     19,                0.77309,                 0.9687,                  1.029,                0.76028,                0.69815,                0.78703,                0.67559,                 0.6606,                0.79015,                0.97393,             0.00036203,             0.00036203,             0.00036203
                     20,                0.77807,                0.93939,                 1.0502,                0.66694,                0.72651,                0.76619,                0.66147,                  0.641,                0.73937,                 0.9876,             0.00034656,             0.00034656,             0.00034656
                     21,                0.75522,                0.88738,                 1.0316,                0.76513,                0.82829,                0.89953,                0.77516,                0.62513,                0.66158,                0.97235,             0.00033109,             0.00033109,             0.00033109
                     22,                0.75009,                0.88548,                 1.0362,                0.75855,                0.69772,                 0.7828,                0.67161,                0.65248,                0.94118,                0.98082,             0.00031562,             0.00031562,             0.00031562
                     23,                0.74231,                0.82145,                 1.0124,                0.83555,                0.72144,                 0.8492,                0.72252,                0.63804,                 0.6579,                0.97021,             0.00030016,             0.00030016,             0.00030016
                     24,                0.73292,                0.77583,                   1.01,                0.76847,                 0.9052,                 0.8465,                0.71025,                0.64435,                0.73995,                0.96281,             0.00028469,             0.00028469,             0.00028469
                     25,                0.71759,                0.80484,                 1.0121,                0.77227,                0.85821,                0.93558,                 0.7973,                 0.6255,                0.76759,                0.94655,             0.00026922,             0.00026922,             0.00026922
                     26,                0.68477,                0.74545,                0.99947,                0.80931,                0.87477,                0.91849,                0.76933,                0.66294,                0.65565,                0.96691,             0.00025375,             0.00025375,             0.00025375
                     27,                0.71491,                0.73881,                 1.0362,                0.78946,                0.86014,                0.87016,                0.75298,                0.59575,                0.60033,                 0.9513,             0.00023828,             0.00023828,             0.00023828
                     28,                0.68249,                0.68391,                 1.0231,                0.82281,                0.87062,                0.91886,                 0.8087,                0.58099,                0.63608,                0.94636,             0.00022281,             0.00022281,             0.00022281
                     29,                0.70836,                 0.7688,                0.99167,                0.88088,                0.89845,                0.90819,                0.76933,                0.62712,                0.52612,                0.97092,             0.00020734,             0.00020734,             0.00020734
                     30,                0.67378,                0.72494,                 1.0003,                0.89239,                0.89977,                0.96666,                0.82621,                0.60595,                0.50111,                0.95882,             0.00019188,             0.00019188,             0.00019188
                     31,                0.56332,                0.50028,                0.96837,                0.92979,                0.86264,                0.94728,                 0.8262,                0.59621,                0.47924,                0.95191,             0.00017641,             0.00017641,             0.00017641
                     32,                0.56876,                0.45173,                0.95773,                0.91674,                0.87953,                0.95968,                0.84232,                0.58247,                0.47066,                0.93087,             0.00016094,             0.00016094,             0.00016094
                     33,                0.56735,                0.43982,                0.95784,                0.92896,                  0.858,                0.95249,                0.83902,                 0.5894,                0.50992,                0.94079,             0.00014547,             0.00014547,             0.00014547
                     34,                0.55023,                0.42392,                0.95916,                0.92581,                0.85537,                0.94127,                0.82973,                 0.5564,                0.46652,                0.92431,                0.00013,                0.00013,                0.00013
                     35,                0.53428,                0.39712,                 0.9475,                0.88404,                0.89771,                0.94255,                 0.8334,                0.56662,                0.45452,                0.93262,             0.00011453,             0.00011453,             0.00011453
                     36,                0.53298,                0.38434,                0.93873,                0.89822,                0.88064,                0.94143,                0.81761,                0.58459,                0.44465,                0.93079,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     37,                 0.5166,                0.37757,                0.93508,                0.90208,                0.88978,                0.95289,                 0.8373,                0.53488,                0.43279,                0.91374,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     38,                0.51478,                 0.3664,                0.92909,                0.90371,                0.86558,                0.93704,                0.82947,                0.56631,                0.45135,                0.92108,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     39,                0.51157,                 0.3619,                 0.9335,                0.92704,                0.89868,                0.94604,                0.84918,                0.55129,                0.41562,                0.92175,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     40,                0.50399,                0.33227,                0.92186,                0.92996,                0.90337,                0.93938,                0.84178,                0.54535,                0.40315,                0.92543,             3.7188e-05,             3.7188e-05,             3.7188e-05
