                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91998,                0.61262,                0.97897,                0.96942,                0.97558,                 0.9949,                0.84555,                0.65908,                0.41284,                0.87137,             0.00055694,             0.00055694,             0.00055694
                     36,                0.97718,                0.67991,                 1.0711,                0.90374,                0.94105,                 0.9834,                0.80443,                0.75227,                0.52241,                 0.9057,             0.00055488,             0.00055488,             0.00055488
                     37,                0.98854,                0.72237,                0.98461,                0.90374,                0.94105,                 0.9834,                0.80443,                0.75227,                0.52241,                 0.9057,             0.00055281,             0.00055281,             0.00055281
                     38,                0.98959,                0.64171,                0.97931,                0.92908,                0.92408,                0.97507,                0.80779,                0.75177,                0.56558,                0.91244,             0.00055075,             0.00055075,             0.00055075
                     39,                0.86658,                0.56825,                0.98668,                0.96071,                0.94747,                0.99204,                 0.8054,                 0.8152,                0.61372,                0.93698,             0.00054869,             0.00054869,             0.00054869
                     40,                 1.2015,                0.88563,                 1.2258,                0.95431,                0.94466,                0.99182,                0.82414,                0.76027,                 0.5433,                0.90334,             0.00054663,             0.00054663,             0.00054663
                     41,                0.94482,                0.59209,                 1.0192,                0.95431,                0.94466,                0.99182,                0.82414,                0.76027,                 0.5433,                0.90334,             0.00054456,             0.00054456,             0.00054456
                     42,                0.99957,                 0.6354,                0.99811,                0.97284,                0.92098,                0.98932,                0.79584,                0.81389,                0.47973,                0.93329,              0.0005425,              0.0005425,              0.0005425
                     43,                0.94146,                0.60494,                0.95905,                 0.9538,                0.94241,                0.99013,                0.80161,                  0.832,                0.51922,                0.92569,             0.00054044,             0.00054044,             0.00054044
                     44,                0.96665,                0.55229,                0.99561,                0.90607,                 0.9254,                0.94786,                0.80699,                0.75296,                0.52587,                0.89227,             0.00053838,             0.00053838,             0.00053838
                     45,                0.98845,                0.71737,                 1.1182,                0.90607,                 0.9254,                0.94786,                0.80699,                0.75296,                0.52587,                0.89227,             0.00053631,             0.00053631,             0.00053631
                     46,                 1.0378,                0.64544,                0.97354,                0.94945,                0.89387,                 0.9812,                0.82867,                0.73884,                0.45383,                0.88431,             0.00053425,             0.00053425,             0.00053425
                     47,                0.87152,                 0.5237,                0.95813,                0.94849,                0.97945,                0.99301,                0.84482,                0.68601,                0.41328,                0.87279,             0.00053219,             0.00053219,             0.00053219
