                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91242,                 4.6738,                  1.156,                0.13347,                0.36481,                0.09134,                 0.0727,                0.68362,                 123.27,                 1.0661,             0.00013125,             0.00013125,             0.00013125
                      2,                0.81854,                 2.8493,                 1.0669,                0.32707,                 0.2613,                0.18574,                0.15176,                 1.2011,                 40.004,                 1.5564,             0.00026609,             0.00026609,             0.00026609
                      3,                0.90665,                 2.3579,                 1.1505,                0.31725,                0.22538,                 0.2351,                0.17551,                  0.995,                 47.018,                 1.4553,             0.00039821,             0.00039821,             0.00039821
                      4,                0.89435,                 2.1064,                 1.0684,                0.34892,                0.44825,                0.35627,                0.25867,                0.94021,                    inf,                 1.5498,              0.0005276,              0.0005276,              0.0005276
                      5,                 0.9394,                 2.1126,                 1.1175,                0.04001,                0.28406,                0.05255,                0.03721,                  1.137,                    inf,                 1.5554,             0.00060025,             0.00060025,             0.00060025
                      6,                 0.9399,                 1.9197,                 1.1594,                0.51735,                0.57943,                 0.4965,                0.35475,                0.93469,                 3.2126,                  1.356,             0.00060025,             0.00060025,             0.00060025
                      7,                0.91091,                 1.6867,                 1.1251,                0.51198,                0.40606,                0.44366,                0.34515,                0.99655,                 3.1854,                 1.3164,             0.00059406,             0.00059406,             0.00059406
                      8,                0.92379,                 1.6725,                 1.1393,                0.45531,                0.42456,                0.43079,                0.31998,                0.85303,                 2.3879,                 1.2317,             0.00058787,             0.00058787,             0.00058787
                      9,                0.86904,                  1.522,                 1.0901,                0.72883,                0.28047,                0.37068,                0.29662,                0.89706,                 3.2697,                 1.2489,             0.00058169,             0.00058169,             0.00058169
                     10,                0.89811,                 1.6317,                   1.11,                0.36185,                0.54671,                0.39932,                0.30532,                0.83726,                 3.7097,                 1.2565,              0.0005755,              0.0005755,              0.0005755
                     11,                0.87548,                 1.3746,                 1.0673,                0.20361,                0.56431,                0.38971,                0.29558,                0.76676,                 2.4166,                 1.1386,             0.00056931,             0.00056931,             0.00056931
                     12,                0.90078,                 1.3394,                 1.1087,                0.62445,                0.28053,                0.27409,                0.21727,                 1.1102,                 3.0236,                 1.3711,             0.00056313,             0.00056313,             0.00056313
                     13,                0.99539,                 1.4379,                 1.1727,                0.27362,                 0.5815,                0.44559,                0.36634,                0.68136,                 2.2889,                 1.0973,             0.00055694,             0.00055694,             0.00055694
                     14,                 0.8308,                 1.3479,                 1.0462,                0.69514,                0.48781,                0.64862,                0.52197,                0.76073,                 1.5979,                 1.1483,             0.00055075,             0.00055075,             0.00055075
                     15,                0.81546,                  1.256,                 1.0509,                0.47224,                0.70204,                0.60776,                0.47104,                0.79194,                 1.8656,                 1.1756,             0.00054456,             0.00054456,             0.00054456
                     16,                0.86205,                 1.2456,                 1.0705,                0.40865,                0.74412,                0.60311,                0.49394,                0.72127,                 2.2946,                  1.097,             0.00053838,             0.00053838,             0.00053838
                     17,                0.81803,                 1.1581,                  1.049,                 0.5817,                0.63036,                0.65302,                0.53933,                0.73748,                 1.9125,                 1.1491,             0.00053219,             0.00053219,             0.00053219
                     18,                0.73896,                 1.1019,                 1.0334,                0.62987,                0.51601,                0.64702,                0.53733,                0.70238,                 1.7006,                 1.1192,               0.000526,               0.000526,               0.000526
                     19,                0.76818,                 1.0368,                 1.0383,                0.54592,                0.78403,                 0.7094,                0.56604,                0.73195,                 1.6996,                 1.1334,             0.00051981,             0.00051981,             0.00051981
                     20,                0.80949,                 1.0807,                   1.07,                0.43099,                0.78851,                0.69424,                0.57331,                0.67808,                 1.5528,                 1.1061,             0.00051363,             0.00051363,             0.00051363
                     21,                0.77596,                 1.0516,                 1.0357,                0.68782,                0.57767,                0.65449,                0.53553,                0.66144,                 1.7741,                 1.0839,             0.00050744,             0.00050744,             0.00050744
                     22,                0.81208,                  1.138,                 1.0303,                0.60487,                0.52698,                0.61793,                 0.5123,                0.67796,                 2.0131,                 1.0776,             0.00050125,             0.00050125,             0.00050125
                     23,                 0.7765,                 1.0208,                 1.0498,                0.63011,                0.77001,                0.77602,                 0.6386,                0.68378,                 1.4182,                 1.0881,             0.00049506,             0.00049506,             0.00049506
                     24,                0.76429,                0.94698,                 1.0233,                 0.5364,                0.87921,                 0.8047,                0.64429,                0.74262,                 1.3145,                 1.1019,             0.00048888,             0.00048888,             0.00048888
                     25,                0.82796,                0.99975,                 1.0746,                0.42406,                0.61564,                0.57855,                0.46924,                0.70498,                  3.926,                 1.1022,             0.00048269,             0.00048269,             0.00048269
                     26,                 0.7914,                0.94124,                 1.0666,                0.72556,                 0.5611,                0.74281,                0.60117,                 0.7066,                 1.6316,                 1.0866,              0.0004765,              0.0004765,              0.0004765
                     27,                0.79704,                0.86664,                 1.0173,                0.76096,                0.74684,                0.83728,                0.69193,                0.68654,                 1.2746,                 1.0737,             0.00047031,             0.00047031,             0.00047031
                     28,                0.75454,                0.85839,                 1.0306,                0.56411,                0.85701,                0.79683,                0.66415,                 0.6528,                 1.2348,                 1.0854,             0.00046413,             0.00046413,             0.00046413
                     29,                0.76257,                0.85569,                 1.0193,                0.59978,                0.70075,                0.74618,                0.58639,                0.67393,                 1.5934,                 1.0931,             0.00045794,             0.00045794,             0.00045794
                     30,                0.73018,                 0.8494,                 1.0349,                0.59256,                0.74386,                0.76916,                0.63554,                0.70734,                 1.2519,                 1.0783,             0.00045175,             0.00045175,             0.00045175
                     31,                0.74031,                0.77471,                 1.0372,                0.46737,                0.77096,                 0.7447,                0.61311,                0.67631,                 1.5947,                 1.1119,             0.00044556,             0.00044556,             0.00044556
                     32,                0.75858,                0.86439,                 1.0338,                0.77301,                0.75714,                0.85495,                0.71819,                0.63484,                 1.4144,                 1.0502,             0.00043937,             0.00043937,             0.00043937
                     33,                 0.7219,                0.83273,                 1.0254,                0.67904,                0.79944,                0.86332,                0.69476,                0.64136,                 1.4405,                 1.0517,             0.00043319,             0.00043319,             0.00043319
                     34,                0.77672,                0.82647,                 1.0098,                0.72071,                0.77918,                 0.8737,                0.70432,                0.65113,                 1.2443,                 1.0681,               0.000427,               0.000427,               0.000427
                     35,                0.71861,                 0.7291,                0.99265,                0.75144,                0.79286,                0.84846,                0.70172,                0.64279,                 1.3224,                 1.0766,             0.00042081,             0.00042081,             0.00042081
                     36,                0.77248,                0.75356,                 1.0454,                0.75295,                0.75409,                0.80569,                0.69984,                0.59378,                 1.2137,                 1.0375,             0.00041462,             0.00041462,             0.00041462
                     37,                0.76419,                0.78654,                 1.0251,                0.78579,                0.72962,                0.83824,                  0.723,                0.61721,                 1.0915,                 1.0685,             0.00040844,             0.00040844,             0.00040844
                     38,                 0.7054,                0.75668,                 1.0095,                0.77241,                0.72912,                0.84229,                0.69924,                0.59986,                 1.6656,                 1.0283,             0.00040225,             0.00040225,             0.00040225
                     39,                0.72371,                0.73253,                  1.025,                 0.8094,                  0.778,                0.90786,                0.76876,                0.63093,                  1.176,                 1.0437,             0.00039606,             0.00039606,             0.00039606
                     40,                0.72898,                0.73487,                 1.0091,                 0.7931,                0.80041,                0.82427,                 0.6851,                0.61107,                 1.2194,                  1.028,             0.00038988,             0.00038988,             0.00038988
                     41,                0.70465,                0.71419,                 0.9796,                 0.7918,                0.82043,                0.88349,                0.75557,                0.62268,                 1.2619,                 1.0458,             0.00038369,             0.00038369,             0.00038369
                     42,                0.67298,                0.67216,                0.97589,                0.83298,                0.82168,                0.89465,                0.75611,                0.63224,                 1.2829,                 1.0531,              0.0003775,              0.0003775,              0.0003775
                     43,                0.65411,                0.65604,                0.96984,                0.83479,                0.80007,                 0.8926,                0.74994,                0.59506,                 1.2107,                 1.0229,             0.00037131,             0.00037131,             0.00037131
                     44,                0.68188,                0.66988,                0.98384,                0.79259,                0.86344,                0.90409,                0.76601,                0.62737,                0.94666,                 1.0256,             0.00036513,             0.00036513,             0.00036513
                     45,                0.72169,                0.62528,                0.99775,                0.78602,                 0.8399,                0.89789,                0.75276,                0.61135,                0.89898,                 1.0209,             0.00035894,             0.00035894,             0.00035894
                     46,                0.68157,                0.63235,                0.99163,                0.81787,                0.81972,                0.89056,                 0.7612,                0.64249,                0.95506,                 1.0418,             0.00035275,             0.00035275,             0.00035275
                     47,                0.70635,                0.65746,                  1.013,                0.83749,                0.77683,                0.90927,                0.78486,                0.60363,                 1.5447,                 1.0168,             0.00034656,             0.00034656,             0.00034656
                     48,                0.73618,                0.64749,                0.99808,                0.84687,                0.81004,                0.84708,                0.71845,                0.66117,                 1.5371,                 1.0637,             0.00034038,             0.00034038,             0.00034038
                     49,                0.66713,                0.66142,                0.98752,                 0.8366,                0.89463,                0.92186,                 0.7893,                0.64196,                0.85634,                 1.0361,             0.00033419,             0.00033419,             0.00033419
                     50,                0.66584,                0.65142,                 0.9836,                0.74593,                0.84984,                0.86563,                 0.7565,                0.62024,                 1.0429,                 1.0214,               0.000328,               0.000328,               0.000328
